Year,Global_Temperature_Anomaly_C,CO2_Emissions_Million_Tons
1880,-.17,858.056
1881,-.09,887.965
1882,-.11,937.888
1883,-.17,997.515
1884,-.28,1009.43
1885,-.33,1017.145
1886,-.31,1032.614
1887,-.36,1083.728
1888,-.17,1200.802
1889,-.11,1201.516
1890,-.35,1306.591
1891,-.22,1368.916
1892,-.27,1379.809
1893,-.31,1362.515
1894,-.30,1411.533
1895,-.23,1495.239
1896,-.11,1544.661
1897,-.11,1617.493
1898,-.27,1705.961
1899,-.18,1863.135
1900,-.09,1961.491
1901,-.16,2023.964
1902,-.28,2074.8
1903,-.37,2262.046
1904,-.47,2287.509
1905,-.26,2437.062
1906,-.22,2544.486
1907,-.38,2900.325
1908,-.43,2785.687
1909,-.49,2901.167
1910,-.44,3043.326
1911,-.44,3090.098
1912,-.36,3246.477
1913,-.35,3516.533
1914,-.16,3189.786
1915,-.14,3140.277
1916,-.36,3391.973
1917,-.46,3548.138
1918,-.30,3499.686
1919,-.28,3033.839
1920,-.27,3537.837
1921,-.19,3106.184
1922,-.28,3254.463
1923,-.26,3690.698
1924,-.27,3702.777
1925,-.22,3740.634
1926,-.10,3677.407
1927,-.22,4012.947
1928,-.20,3996.312
1929,-.36,4288.211
1930,-.15,3958.096
1931,-.09,3539.32
1932,-.16,3192.592
1933,-.28,3362.683
1934,-.12,3656.187
1935,-.19,3835.742
1936,-.14,4207.931
1937,-.03,4496.715
1938,.00,4229.619
1939,-.02,4470.135
1940,.12,4884.664
1941,.19,4999.093
1942,.07,4982.524
1943,.09,5075.273
1944,.20,5162.486
1945,.09,4289.312
1946,-.07,4608.547
1947,-.03,5165.206
1948,-.11,5447.885
1949,-.11,5204.035
1950,-.17,5930.244
1951,-.07,6381.429
1952,.01,6467.46
1953,.08,6650.885
1954,-.13,6789.529
1955,-.14,7443.896
1956,-.19,7926.013
1957,.05,8185.645
1958,.06,8417.188
1959,.03,8854.689
1960,-.02,9387.011
1961,.06,9415.042
1962,.03,9747.287
1963,.05,10266.772
1964,-.20,10824.466
1965,-.11,11310.601
1966,-.06,11862.646
1967,-.02,12237.369
1968,-.08,12905.283
1969,.05,13761.785
1970,.03,14899.124
1971,-.08,15503.854
1972,.01,16224.597
1973,.16,17085.094
1974,-.07,17011.072
1975,-.01,17052.752
1976,-.10,17989.111
1977,.18,18498.635
1978,.06,19069.291
1979,.16,19609.02
1980,.25,19488.523
1981,.32,19022.902
1982,.14,18871.098
1983,.31,18991.91
1984,.15,19647.801
1985,.12,20311.902
1986,.18,20614.963
1987,.32,21250.074
1988,.39,22085.131
1989,.27,22386.637
1990,.45,22728.988
1991,.40,23186.102
1992,.22,22528.172
1993,.23,22755.787
1994,.31,22992.947
1995,.44,23532.084
1996,.33,24258.168
1997,.46,24401.906
1998,.61,24303.777
1999,.38,24853.729
2000,.39,25510.553
2001,.53,25706.293
2002,.63,26276.869
2003,.61,27669.49
2004,.53,28632.506
2005,.68,29614.395
2006,.63,30628.396
2007,.66,31534.645
2008,.54,32074.199
2009,.65,31541.922
2010,.72,33355.902
2011,.61,34504.539
2012,.64,35000.02
2013,.67,35301.656
2014,.75,35450.094
2015,.89,35404.898
2016,1.01,35416.656
2017,.92,35989.898
2018,.85,36730.426
2019,.97,37104.273
2020,1.01,35126.527
2021,.84,36991.734
2022,.89,37293.836
2023,1.17,37791.57
